M_BH,log_sigma0,log_R_e_sph_eq_kpc,log<Sigma>_e,"GJC23log(M*,gal/M_sun)",GJC23log(sSFR),D_L
5.74,1.538950562,-1.239788683,3.640768301,8.85,-10.36427857,0.48572142648158
8.677183839,2.37417991,0.041392685,3.831612442,11.1,-12.15998184,1.4424797690644486
7.62324929,2.294686624,-0.406492411,4.214386841,10.61,-12.34992861,1.041392685158225
7.820198989,2.17,-0.040310037,3.964553986,10.46,-9.868501315,1.7331972651065695
8.156998317,2.348421698,0.135895576,3.936206321,11.43,-11.96180041,1.250420002308894
9.15548582,2.469262225,0.276461804,3.677544926,10.88,-11.69987412,1.3424226808222062
8.758880366,2.253749808,0.028709489,3.35438684,10.33,-14.63103,1.2787536009528289
7.142582755,2.149557792,-0.734851861,4.24919351,9.97,-11.97,1.0863598306747482
7.136668167,2.187605315,-0.632271454,3.850602175,9.89,-11.70247928,1.3443922736851108
7.596069628,2.283120235,-0.861160688,4.16095775,9.8,-11.89151498,0.8573324964312685
8.939837767,2.415357362,0.189770956,3.581115536,10.63,-12.59657624,0.9684829485539351
8.296730015,2.316033282,-0.633017024,4.497767473,10.45,-11.22185639,1.3031960574204888
7.022424846,2.158694118,-0.519418213,4.286011744,10.37,-11.84625353,1.0492180226701815
6.759700121,2.017784353,-1.021363052,4.744499535,10.14,-11.23963287,1.0644579892269186
8.759667845,2.332680789,0.326638942,3.569058972,11.13,-11.2726675,1.5403294747908738
8.418774637,2.423393345,-0.505845406,4.201210714,10.3,-11.18472241,1.1335389083702174
8.255272505,2.239274447,-0.829591588,4.968827046,10.18,-13.22575749,1.1205739312058498
7.62800556,2.045166448,-0.31165138,3.482142884,10.02,-11.15786862,1.1986570869544226
8.649419525,2.381295623,-0.287434472,3.683970994,10.1,-14.40103,1.3579348470004537
8.8684625,2.256621546,0.202733458,3.075102752,10.35,-12.05333481,1.2304489213782739
6.832055183,2.109713505,-0.152982902,3.366570748,10.38,-12.02397414,1.2148438480476977
8.178715403,2.239149265,-0.04639299,3.755903539,10.75,-11.58983171,1.2201080880400552
7.843154885,2.065542371,-0.245521701,3.592328801,10.03,-14.33103,1.3483048630481607
7.826940958,2.235124264,-0.010995384,3.688338616,10.56,-11.11972079,1.1903316981702914
8.656398758,2.35148709,0.064697534,3.73000147,10.84,-11.38181556,1.212187604403958
7.901041424,2.1935698,-0.382999659,3.958408337,10.12,-12.5402164,1.1583624920952498
7.276081011,2.048907701,-0.307188319,3.577977658,10.05,-14.35103,1.209515014542631
7.897234242,2.147892645,-0.131943638,3.636651672,10.54,-11.84103,1.2304489213782739
7.132996732,2.005823753,-0.609913125,4.280495826,9.99,-11.79134291,1.173186268412274
7.238068318,2.149926959,-0.735938129,4.383137184,10.56,-14.86103,1.2304489213782739
7.997340366,2.32621293,0.054842779,4.00230768,11.1,-11.40381841,1.5843312243675307
7.648616762,2.014478535,0.039176084,3.751373554,10.86,-10.60789975,0.5751878449276611
9.031157982,2.271027994,-0.151441428,4.367480666,11.05,-10.29806687,2.0170333392987803
8.828326269,2.372930405,0.321324969,3.442432295,11.1,-12.49469495,1.4913616938342726
8.411512816,2.36272745,-0.197363082,3.698809296,10.14,-11.74730305,1.3979400086720377
9.296231113,2.587980211,0.414433485,3.290201914,10.84,-11.81346674,1.4313637641589874
7.060917788,2.107142106,-0.589087861,4.488949313,10.48,-11.78364361,1.3463529744506386
6.957675685,1.83231727,-0.401089176,3.316974426,9.92,-11.74390874,1.1038037209559568
