Galaxy,M_BH,log_sigma0,logRh,log<Sigma>_h,"GJC23log(M*,gal/M_sun)",GJC23log(sSFR),GJC23W2-W3
IC 1459,9.380211242,2.471453074,0.907382825,2.939310172,11.24,-12.00346274,0.39
IC 4296,9.102971119,2.515012345,0.847861042,2.546707568,11.47,-12.47261362,0.02
NGC 0821,7.591064607,2.296072566,0.328911975,2.779433794,10.64,-11.64788851,0.27
NGC 1275,8.903089987,2.388509715,1.113013552,2.374010734,11.52,-9.806382631,3.0
NGC 1399,8.667597357,2.521438846,1.492832998,1.429210316,11.23,-12.72349497,0.17
NGC 1407,9.649324444,2.424277122,0.892333493,2.488017132,11.39,-15.69103,0.07
NGC 1600,10.2797881,2.52040492,1.183582542,2.203498458,11.71,-15.23287875,-0.34
NGC 3091,9.614930156,2.492718494,1.172043973,2.567678649,11.39,-15.08897,-0.21
NGC 3377,8.243991495,2.133858125,0.593145107,2.084445777,10.13,-14.43103,-0.09
NGC 3379,8.626649265,2.306360683,0.437416522,3.175991298,10.64,-14.94103,0.12
NGC 3414,8.376651431,2.375755035,0.514492884,3.014198185,10.63,-12.04907502,0.5
NGC 3585,8.486884391,2.330819466,0.843127527,2.808830956,11.03,-13.16076828,0.06
NGC 3607,8.165530387,2.346724509,0.799219755,2.965411885,11.13,-11.72963473,0.73
NGC 3608,8.632971961,2.288338669,0.704141048,2.664473835,10.56,-14.86103,-0.13
NGC 3842,9.935784689,2.488635311,1.495634936,2.008717643,11.45,-14.79678749,-0.43
NGC 3923,9.473661779,2.390139938,0.878969801,2.833400574,11.3,-15.60103,-0.03
NGC 4261,9.205902972,2.472361457,0.789754682,2.998209351,11.17,-11.98530857,0.22
NGC 4291,8.967248359,2.466363368,0.346074611,3.198623217,10.47,-14.77103,0.0
NGC 4374,8.949362745,2.443403817,1.042693618,2.594530654,11.14,-15.44103,-0.04
NGC 4472,9.359828843,2.450218306,0.990340081,2.843090501,11.41,-12.07958623,0.28
NGC 4473,7.948528026,2.251784177,0.260497795,3.39292951,10.53,-12.04855737,0.15
NGC 4486,9.85308953,2.509202522,0.935775557,2.875038843,11.31,-12.01996539,0.33
NGC 4552,8.669202453,2.3984782,0.498688431,3.158058968,10.77,-12.11872199,0.5
NGC 4621,8.586157273,2.357534655,0.843647243,2.695702291,10.89,-11.81959268,0.42
NGC 4649,9.670438916,2.519171464,0.804457639,3.040975482,11.24,-12.02277934,0.42
NGC 4697,8.096544137,2.218062618,0.94595997,2.362208308,10.65,-12.10967053,0.09
NGC 4889,10.29216588,2.594436751,1.442742443,2.353739093,11.72,-15.02103,-0.17
NGC 5077,8.854217576,2.400365273,0.691659415,3.052418687,11.02,-11.9361392,0.22
NGC 5419,9.863471037,2.536987475,1.100212449,2.779296181,11.64,-12.46739707,0.04
NGC 5576,8.198834386,2.261476989,0.364785683,3.322611987,10.7,-15.00103,-0.23
NGC 5846,9.037788561,2.375132994,1.018905529,2.566582872,11.18,-15.48103,-0.13
NGC 6251,8.77237707,2.494599796,1.134538417,2.713957848,11.51,-11.49229903,1.05
NGC 7052,9.348897423,2.445495227,0.771855866,3.099503955,11.22,-11.69031305,0.58
NGC 7619,9.354518696,2.501196242,1.080823609,2.599095986,11.29,-15.11390874,-0.01
NGC 7768,9.095861513,2.46155855,1.322382641,2.785677705,11.44,-14.62708664,-0.38
